t,plant,axis,organ,Uptake_Nitrates
212,1,MS,roots,0.00729429
213,1,MS,roots,0.00828294
214,1,MS,roots,0.00755186
215,1,MS,roots,0.00826341
216,1,MS,roots,0.00779739
217,1,MS,roots,0.00824092
218,1,MS,roots,0.00810328
219,1,MS,roots,0.00828393
220,1,MS,roots,0.00825862
221,1,MS,roots,0.00834571
222,1,MS,roots,0.008359
223,1,MS,roots,0.00841518
224,1,MS,roots,0.00845375
225,1,MS,roots,0.00850939
226,1,MS,roots,0.00857574
227,1,MS,roots,0.00866542
228,1,MS,roots,0.00877686
229,1,MS,roots,0.00890998
230,1,MS,roots,0.00924559
231,1,MS,roots,0.00910574
232,1,MS,roots,0.00933771
233,1,MS,roots,0.0093844
234,1,MS,roots,0.00963342
235,1,MS,roots,0.00985057
236,1,MS,roots,0.01010346
237,1,MS,roots,0.01023454
238,1,MS,roots,0.01047034
239,1,MS,roots,0.01064694
240,1,MS,roots,0.01072446
241,1,MS,roots,0.01076353
242,1,MS,roots,0.01110384
243,1,MS,roots,0.0110794
244,1,MS,roots,0.00925509
245,1,MS,roots,0.01051473
246,1,MS,roots,0.01011445
247,1,MS,roots,0.01039873
248,1,MS,roots,0.01028207
249,1,MS,roots,0.01031417
250,1,MS,roots,0.01028975
251,1,MS,roots,0.01029212
252,1,MS,roots,0.01029289
253,1,MS,roots,0.01031514
254,1,MS,roots,0.01035704
255,1,MS,roots,0.01037724
256,1,MS,roots,0.01040595
257,1,MS,roots,0.01054731
258,1,MS,roots,0.01071655
259,1,MS,roots,0.01082757
260,1,MS,roots,0.01099431
261,1,MS,roots,0.01113783
262,1,MS,roots,0.0112124
263,1,MS,roots,0.01128793
264,1,MS,roots,0.01129485
265,1,MS,roots,0.01122986
266,1,MS,roots,0.01104232
267,1,MS,roots,0.0107893
268,1,MS,roots,0.01065074
269,1,MS,roots,0.0105481
270,1,MS,roots,0.01047428
271,1,MS,roots,0.01042652
272,1,MS,roots,0.01040983
273,1,MS,roots,0.01041366
274,1,MS,roots,0.01045006
275,1,MS,roots,0.01052106
276,1,MS,roots,0.01061122
277,1,MS,roots,0.01073569
278,1,MS,roots,0.01089233
279,1,MS,roots,0.01109465
280,1,MS,roots,0.01131521
281,1,MS,roots,0.01180846
282,1,MS,roots,0.01271925
283,1,MS,roots,0.01363741
284,1,MS,roots,0.01439712
285,1,MS,roots,0.01521771
286,1,MS,roots,0.01589363
287,1,MS,roots,0.01642051
288,1,MS,roots,0.01682662
289,1,MS,roots,0.01664832
290,1,MS,roots,0.01617022
291,1,MS,roots,0.01583183
292,1,MS,roots,0.01563653
293,1,MS,roots,0.01555504
294,1,MS,roots,0.01555874
295,1,MS,roots,0.01564053
296,1,MS,roots,0.01579432
297,1,MS,roots,0.01600901
298,1,MS,roots,0.01625575
299,1,MS,roots,0.01655733
300,1,MS,roots,0.01681526
301,1,MS,roots,0.01728379
302,1,MS,roots,0.01761348
303,1,MS,roots,0.01808424
304,1,MS,roots,0.01847827
305,1,MS,roots,0.01909763
306,1,MS,roots,0.01990579
307,1,MS,roots,0.02118066
308,1,MS,roots,0.02206101
309,1,MS,roots,0.02299651
310,1,MS,roots,0.02457199
311,1,MS,roots,0.0249767
312,1,MS,roots,0.02456678
313,1,MS,roots,0.02410537
314,1,MS,roots,0.02339214
315,1,MS,roots,0.02265125
316,1,MS,roots,0.02215114
317,1,MS,roots,0.02172293
318,1,MS,roots,0.02140479
319,1,MS,roots,0.02110356
320,1,MS,roots,0.02078462
321,1,MS,roots,0.0206352
322,1,MS,roots,0.02038278
323,1,MS,roots,0.02022876
324,1,MS,roots,0.02003683
325,1,MS,roots,0.01990543
326,1,MS,roots,0.01981319
327,1,MS,roots,0.01972302
328,1,MS,roots,0.01962302
329,1,MS,roots,0.0199484
330,1,MS,roots,0.02109526
331,1,MS,roots,0.02269061
332,1,MS,roots,0.02437716
333,1,MS,roots,0.02682165
334,1,MS,roots,0.02788388
335,1,MS,roots,0.02921383
336,1,MS,roots,0.02951036
337,1,MS,roots,0.0280335
338,1,MS,roots,0.02601239
339,1,MS,roots,0.02403315
340,1,MS,roots,0.02241567
341,1,MS,roots,0.02123948
342,1,MS,roots,0.02019747
343,1,MS,roots,0.01940823
344,1,MS,roots,0.0187064
345,1,MS,roots,0.01825172
346,1,MS,roots,0.0178336
347,1,MS,roots,0.01747889
348,1,MS,roots,0.01713786
349,1,MS,roots,0.01684171
350,1,MS,roots,0.01654763
351,1,MS,roots,0.01634598
352,1,MS,roots,0.01618192
353,1,MS,roots,0.01620851
354,1,MS,roots,0.01650824
355,1,MS,roots,0.01689816
356,1,MS,roots,0.01724691
357,1,MS,roots,0.01763954
358,1,MS,roots,0.01847019
359,1,MS,roots,0.01923796
360,1,MS,roots,0.01967386
361,1,MS,roots,0.02015091
362,1,MS,roots,0.0198349
363,1,MS,roots,0.01897874
364,1,MS,roots,0.01826496
365,1,MS,roots,0.01770957
366,1,MS,roots,0.01722858
367,1,MS,roots,0.01684079
368,1,MS,roots,0.01653088
369,1,MS,roots,0.01627273
370,1,MS,roots,0.01604027
371,1,MS,roots,0.01598061
372,1,MS,roots,0.01599276
373,1,MS,roots,0.01604055
374,1,MS,roots,0.01609695
375,1,MS,roots,0.01615594
376,1,MS,roots,0.01620031
377,1,MS,roots,0.01647718
378,1,MS,roots,0.01738378
379,1,MS,roots,0.01891703
380,1,MS,roots,0.02092588
381,1,MS,roots,0.02320526
382,1,MS,roots,0.02529584
383,1,MS,roots,0.02669431
384,1,MS,roots,0.02707257
385,1,MS,roots,0.0267625
386,1,MS,roots,0.02603342
387,1,MS,roots,0.02524823
388,1,MS,roots,0.02461293
389,1,MS,roots,0.02406808
390,1,MS,roots,0.02352471
391,1,MS,roots,0.02305028
392,1,MS,roots,0.02263883
393,1,MS,roots,0.02223982
394,1,MS,roots,0.02191387
395,1,MS,roots,0.02165355
396,1,MS,roots,0.02147834
397,1,MS,roots,0.02131355
398,1,MS,roots,0.02119789
399,1,MS,roots,0.02108519
400,1,MS,roots,0.0209697
401,1,MS,roots,0.02109385
402,1,MS,roots,0.02208712
403,1,MS,roots,0.02414015
404,1,MS,roots,0.02653058
405,1,MS,roots,0.02937503
406,1,MS,roots,0.03297496
407,1,MS,roots,0.03652061
408,1,MS,roots,0.03895281
409,1,MS,roots,0.03962746
410,1,MS,roots,0.03837961
411,1,MS,roots,0.03593108
412,1,MS,roots,0.03356922
413,1,MS,roots,0.03158057
414,1,MS,roots,0.02975383
415,1,MS,roots,0.02822642
416,1,MS,roots,0.02682212
417,1,MS,roots,0.02559385
418,1,MS,roots,0.02458496
419,1,MS,roots,0.02366379
420,1,MS,roots,0.02287729
421,1,MS,roots,0.02219129
422,1,MS,roots,0.02155377
423,1,MS,roots,0.02107126
424,1,MS,roots,0.02075068
425,1,MS,roots,0.02101709
426,1,MS,roots,0.02230483
427,1,MS,roots,0.02441512
428,1,MS,roots,0.0269944
429,1,MS,roots,0.02895061
430,1,MS,roots,0.03055581
431,1,MS,roots,0.03260774
432,1,MS,roots,0.03410761
433,1,MS,roots,0.03424961
434,1,MS,roots,0.03327945
435,1,MS,roots,0.03180711
436,1,MS,roots,0.03039079
437,1,MS,roots,0.02920165
438,1,MS,roots,0.02813467
439,1,MS,roots,0.02714364
440,1,MS,roots,0.02630794
441,1,MS,roots,0.02552539
442,1,MS,roots,0.02488086
443,1,MS,roots,0.02435703
444,1,MS,roots,0.02394549
445,1,MS,roots,0.02363147
446,1,MS,roots,0.02338563
447,1,MS,roots,0.02321242
448,1,MS,roots,0.02305116
449,1,MS,roots,0.02346862
450,1,MS,roots,0.02547287
451,1,MS,roots,0.02971689
452,1,MS,roots,0.03533339
453,1,MS,roots,0.04054478
454,1,MS,roots,0.04500337
455,1,MS,roots,0.0480254
456,1,MS,roots,0.0495244
457,1,MS,roots,0.04939649
458,1,MS,roots,0.04720134
459,1,MS,roots,0.04384932
460,1,MS,roots,0.04063709
461,1,MS,roots,0.03789572
462,1,MS,roots,0.03544743
463,1,MS,roots,0.03342355
464,1,MS,roots,0.03160233
465,1,MS,roots,0.03018271
466,1,MS,roots,0.02891358
467,1,MS,roots,0.0277812
468,1,MS,roots,0.02687458
469,1,MS,roots,0.02605387
470,1,MS,roots,0.02535818
471,1,MS,roots,0.02476633
472,1,MS,roots,0.02425025
473,1,MS,roots,0.0238709
474,1,MS,roots,0.02375589
475,1,MS,roots,0.02444964
476,1,MS,roots,0.02651114
477,1,MS,roots,0.02935402
478,1,MS,roots,0.03317988
479,1,MS,roots,0.0370767
480,1,MS,roots,0.03966322
481,1,MS,roots,0.04073251
482,1,MS,roots,0.03976715
483,1,MS,roots,0.03765497
484,1,MS,roots,0.03540177
485,1,MS,roots,0.03329824
486,1,MS,roots,0.03150647
487,1,MS,roots,0.0298929
488,1,MS,roots,0.02844449
489,1,MS,roots,0.02719882
490,1,MS,roots,0.02618438
491,1,MS,roots,0.02529584
492,1,MS,roots,0.02461
493,1,MS,roots,0.02404051
494,1,MS,roots,0.02357539
495,1,MS,roots,0.02312577
496,1,MS,roots,0.02266207
497,1,MS,roots,0.02295123
498,1,MS,roots,0.02490976
499,1,MS,roots,0.02875749
500,1,MS,roots,0.03396423
501,1,MS,roots,0.0397806
502,1,MS,roots,0.04533634
503,1,MS,roots,0.04987147
504,1,MS,roots,0.05298804
505,1,MS,roots,0.05427402
506,1,MS,roots,0.05336402
507,1,MS,roots,0.05086431
508,1,MS,roots,0.04792346
509,1,MS,roots,0.04508025
510,1,MS,roots,0.04240218
511,1,MS,roots,0.04000777
512,1,MS,roots,0.03792909
513,1,MS,roots,0.0361283
514,1,MS,roots,0.03467016
515,1,MS,roots,0.0334698
516,1,MS,roots,0.03239176
517,1,MS,roots,0.03156253
518,1,MS,roots,0.03087567
519,1,MS,roots,0.03035648
520,1,MS,roots,0.02997645
521,1,MS,roots,0.03018721
522,1,MS,roots,0.03263163
523,1,MS,roots,0.03662924
524,1,MS,roots,0.04063769
525,1,MS,roots,0.04589618
526,1,MS,roots,0.05063146
527,1,MS,roots,0.05353659
528,1,MS,roots,0.05361514
529,1,MS,roots,0.05226248
530,1,MS,roots,0.04984334
531,1,MS,roots,0.04642349
532,1,MS,roots,0.04322927
533,1,MS,roots,0.04046907
534,1,MS,roots,0.03818712
535,1,MS,roots,0.03612246
536,1,MS,roots,0.03433075
537,1,MS,roots,0.03255792
538,1,MS,roots,0.03111687
539,1,MS,roots,0.03003142
540,1,MS,roots,0.02918441
541,1,MS,roots,0.02847687
542,1,MS,roots,0.02772926
543,1,MS,roots,0.02703016
544,1,MS,roots,0.02636997
545,1,MS,roots,0.0263871
546,1,MS,roots,0.02854111
547,1,MS,roots,0.03392938
548,1,MS,roots,0.04221974
549,1,MS,roots,0.05116319
550,1,MS,roots,0.05870538
551,1,MS,roots,0.06307693
552,1,MS,roots,0.06380709
553,1,MS,roots,0.0614696
554,1,MS,roots,0.05767412
555,1,MS,roots,0.05343492
556,1,MS,roots,0.04949724
557,1,MS,roots,0.04608831
558,1,MS,roots,0.04319706
559,1,MS,roots,0.04085612
560,1,MS,roots,0.03864336
561,1,MS,roots,0.03680912
562,1,MS,roots,0.03530749
563,1,MS,roots,0.03401668
564,1,MS,roots,0.03299005
565,1,MS,roots,0.03220616
566,1,MS,roots,0.0315087
567,1,MS,roots,0.03095594
568,1,MS,roots,0.03041843
569,1,MS,roots,0.03041814
570,1,MS,roots,0.03237131
571,1,MS,roots,0.03625775
572,1,MS,roots,0.0402095
573,1,MS,roots,0.04392975
574,1,MS,roots,0.04848698
575,1,MS,roots,0.05282361
576,1,MS,roots,0.05484705
577,1,MS,roots,0.05452758
578,1,MS,roots,0.05250181
579,1,MS,roots,0.04972569
580,1,MS,roots,0.04725908
581,1,MS,roots,0.04518678
582,1,MS,roots,0.04341125
583,1,MS,roots,0.04186217
584,1,MS,roots,0.04047061
585,1,MS,roots,0.03919002
586,1,MS,roots,0.0379824
587,1,MS,roots,0.03701824
588,1,MS,roots,0.03626148
589,1,MS,roots,0.0356953
590,1,MS,roots,0.03525416
591,1,MS,roots,0.03492669
592,1,MS,roots,0.03481209
593,1,MS,roots,0.03471191
594,1,MS,roots,0.03498125
595,1,MS,roots,0.03640312
596,1,MS,roots,0.04056343
597,1,MS,roots,0.04774053
598,1,MS,roots,0.05575437
599,1,MS,roots,0.06237483
600,1,MS,roots,0.06579522
601,1,MS,roots,0.06628582
602,1,MS,roots,0.06481633
603,1,MS,roots,0.06269223
604,1,MS,roots,0.06049556
605,1,MS,roots,0.0583221
606,1,MS,roots,0.05617966
607,1,MS,roots,0.05418622
